id,city,manufacturer,car_model,year,hand,engine_size,kilometers,price,updated_at,date_added,prices,dateCreated
xqkgttft,מבשרת ציון,kia,נירו PHEV,2022,יד ראשונה,1580,"8,000","148,000 ₪",עודכן ב 16/09/2023,2023-03-07 10:05:52,"[{'price': 148000, 'date': '2023-09-12T05:50:43.142Z'}, {'price': 150000, 'date': '2023-09-06T07:13:29.868Z'}, {'price': 155000, 'date': '2023-07-05T20:32:20.203Z'}, {'price': 160000, 'date': '2023-04-25T11:47:28.689Z'}, {'price': 163000, 'date': '2023-03-14T08:06:49.886Z'}, {'price': 165000, 'date': '2023-03-11T07:44:57.722Z'}, {'price': 169000, 'date': '2023-03-07T08:16:49.380Z'}]",2023-03-07T08:16:49.380Z
16p1hbi2,חיפה,kia,נירו הייבריד,2020,יד ראשונה,1580,"70,000","112,500 ₪",עודכן ב 16/09/2023,2023-09-12 08:58:57,"[{'price': 112500, 'date': '2023-09-12T09:27:04.148Z'}]",2023-09-12T09:27:04.148Z
kquripp9,קרית מוצקין,kia,נירו הייבריד,2021,יד שניה,1580,"38,000","127,000 ₪",עודכן ב 16/09/2023,2023-09-10 13:37:49,"[{'price': 127000, 'date': '2023-09-11T17:27:09.627Z'}, {'price': 129000, 'date': '2023-09-10T14:39:44.758Z'}]",2023-09-10T14:39:44.758Z
cf55by1h,עין החורש,kia,נירו PHEV,2021,יד שניה,1580,"16,000","130,000 ₪",עודכן ב 16/09/2023,2023-09-16 11:10:16,"[{'price': 130000, 'date': '2023-09-16T08:14:47.349Z'}]",2023-09-16T08:14:47.349Z
5lhd02z2,ראש העין,kia,נירו הייבריד,2020,יד ראשונה,1580,"50,000","120,000 ₪",עודכן ב 16/09/2023,2023-09-13 19:54:26,"[{'price': 120000, 'date': '2023-09-13T16:55:37.544Z'}]",2023-09-13T16:55:37.544Z
k7bccwns,ירושלים,kia,נירו הייבריד,2022,יד ראשונה,1580,"20,000","149,000 ₪",עודכן ב 15/09/2023,2023-09-11 17:30:25,"[{'price': 149000, 'date': '2023-09-11T14:31:45.424Z'}]",2023-09-11T14:31:45.424Z
3308897s,אורנית,kia,נירו הייבריד,2021,יד שניה,1580,"55,000","118,560 ₪",עודכן ב 15/09/2023,2023-08-04 09:38:57,"[{'price': 118560, 'date': '2023-08-09T07:16:35.399Z'}, {'price': 126500, 'date': '2023-08-04T06:40:18.176Z'}]",2023-08-04T06:40:18.176Z
l4hlatxw,אור יהודה,kia,נירו הייבריד,2020,יד ראשונה,1580,"49,000","122,000 ₪",עודכן ב 15/09/2023,2023-09-14 12:28:04,"[{'price': 122000, 'date': '2023-09-15T05:05:45.288Z'}, {'price': 124000, 'date': '2023-09-14T09:28:53.656Z'}]",2023-09-14T09:28:53.656Z
wtvk9nhv,עזריאל,kia,נירו PHEV,2020,יד ראשונה,1580,"62,000","128,000 ₪",עודכן ב 14/09/2023,2023-09-14 09:23:31,"[{'price': 128000, 'date': '2023-09-14T06:24:07.777Z'}]",2023-09-14T06:24:07.777Z
kkvrwqy0,הר אדר,kia,נירו PHEV,2021,יד ראשונה,1580,"70,000","125,000 ₪",עודכן ב 14/09/2023,2023-09-03 22:51:56,"[{'price': 125000, 'date': '2023-09-03T19:53:17.519Z'}]",2023-09-03T19:53:17.519Z
bgmmrz9j,גן יבנה,kia,נירו הייבריד,2020,יד ראשונה,1580,"49,000","118,000 ₪",עודכן ב 14/09/2023,2023-09-05 22:05:49,"[{'price': 118000, 'date': '2023-09-05T19:08:11.048Z'}]",2023-09-05T19:08:11.048Z
0o2what3,כפר סבא,kia,נירו הייבריד,2020,יד ראשונה,1580,"37,500","124,000 ₪",עודכן ב 13/09/2023,2023-09-02 09:46:59,"[{'price': 124000, 'date': '2023-09-02T06:51:39.038Z'}]",2023-09-02T06:51:39.038Z
385wr5vi,חיפה,kia,נירו הייבריד,2020,יד ראשונה,1580,"51,000","123,000 ₪",עודכן ב 13/09/2023,2023-09-08 11:46:32,"[{'price': 123000, 'date': '2023-09-08T12:19:59.024Z'}]",2023-09-08T12:19:59.024Z
nyqpu93a,כרמיאל,kia,נירו הייבריד,2020,יד ראשונה,1580,"60,000","123,500 ₪",עודכן ב 13/09/2023,2023-09-10 21:02:14,"[{'price': 123500, 'date': '2023-09-10T19:44:37.254Z'}]",2023-09-10T19:44:37.254Z
frcmu4d1,באר יעקב,kia,נירו PHEV,2021,יד ראשונה,1580,"52,000","126,000 ₪",עודכן ב 12/09/2023,2023-09-04 09:18:46,"[{'price': 126000, 'date': '2023-09-12T13:50:58.707Z'}, {'price': None, 'date': '2023-09-04T06:20:06.814Z'}]",2023-09-04T06:20:06.814Z
meg2eq0d,בני ברק,kia,נירו PHEV,2021,יד ראשונה,1580,"42,000","132,000 ₪",עודכן ב 12/09/2023,2023-08-29 11:29:32,"[{'price': 132000, 'date': '2023-09-07T16:56:08.711Z'}, {'price': 135000, 'date': '2023-09-03T11:59:16.444Z'}, {'price': 139000, 'date': '2023-08-29T08:30:37.997Z'}]",2023-08-29T08:30:37.997Z
wxwmr5jd,פתח תקווה,kia,נירו PHEV,2022,יד ראשונה,1580,"9,800","150,000 ₪",עודכן ב 11/09/2023,2023-09-10 15:55:12,"[{'price': 150000, 'date': '2023-09-10T12:56:23.423Z'}]",2023-09-10T12:56:23.423Z
zbkxav11,מבשרת ציון,kia,נירו PHEV,2020,יד ראשונה,1580,"44,000","107,000 ₪",עודכן ב 11/09/2023,2023-08-29 12:59:51,"[{'price': 107000, 'date': '2023-09-06T08:15:19.619Z'}, {'price': 110000, 'date': '2023-08-29T10:24:55.086Z'}]",2023-08-29T10:24:55.086Z
updog2nf,ירושלים,kia,נירו PHEV,2023,יד ראשונה,1580,"20,202","145,000 ₪",עודכן ב 09/09/2023,2023-09-09 20:20:33,"[{'price': 145000, 'date': '2023-09-09T19:00:38.172Z'}]",2023-09-09T19:00:38.172Z
iviv2pm5,נתניה,kia,נירו הייבריד,2020,יד שניה,1580,"50,000","115,000 ₪",עודכן ב 05/09/2023,2023-06-09 16:05:31,"[{'price': 115000, 'date': '2023-06-09T13:06:28.957Z'}]",2023-06-09T13:06:28.957Z
ozaxd17c,אשדוד,kia,נירו PHEV,2021,יד ראשונה,1580,"70,000","122,000 ₪",עודכן ב 31/08/2023,2023-08-28 16:07:02,"[{'price': 122000, 'date': '2023-08-28T13:07:35.064Z'}]",2023-08-28T13:07:35.064Z
qedwjbkz,חולון,kia,נירו PHEV,2021,יד ראשונה,1580,"22,000","148,000 ₪",עודכן ב 30/08/2023,2023-05-16 16:13:20,"[{'price': 148000, 'date': '2023-05-17T20:28:17.607Z'}, {'price': 155000, 'date': '2023-05-16T13:14:12.781Z'}]",2023-05-16T13:14:12.781Z
zzfif3fz,אילת,kia,נירו הייבריד,2020,יד ראשונה,1580,"45,000","115,000 ₪",עודכן ב 28/08/2023,2023-08-28 15:29:13,"[{'price': 115000, 'date': '2023-08-28T12:30:05.865Z'}]",2023-08-28T12:30:05.865Z
09a2mmnu,פתח תקווה,kia,נירו הייבריד,2021,יד ראשונה,1580,"63,000","122,000 ₪",עודכן ב 27/08/2023,2023-08-22 18:24:32,"[{'price': 122000, 'date': '2023-08-22T15:25:24.122Z'}]",2023-08-22T15:25:24.122Z
6vzp35e8,אופקים,kia,נירו הייבריד,2021,יד ראשונה,1580,"52,000","138,000 ₪",עודכן ב 24/08/2023,2023-06-25 12:08:04,"[{'price': 138000, 'date': '2023-06-25T09:10:17.319Z'}]",2023-06-25T09:10:17.319Z
bx3o861n,בני ברק,kia,נירו PHEV,2021,יד שניה,1580,"54,000","130,000 ₪",עודכן ב 23/08/2023,2023-06-09 17:30:47,"[{'price': 130000, 'date': '2023-07-31T07:13:19.524Z'}, {'price': 132000, 'date': '2023-06-09T14:31:46.226Z'}]",2023-06-09T14:31:46.226Z
7ej3uqmk,ראש העין,kia,נירו הייבריד,2021,יד ראשונה,1580,"44,000","124,900 ₪",עודכן ב 13/08/2023,2023-08-13 15:06:32,"[{'price': 124900, 'date': '2023-08-13T12:07:49.653Z'}]",2023-08-13T12:07:49.653Z
